model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.6584158415841584,0.7289719626168224,0.6610169491525424,0.6933333333333334,0.6687853107344632
Random Forest,0.6237623762376238,0.6842105263157895,0.6610169491525424,0.6724137931034483,0.6954196933010492
